TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/NodeJS/node_modules/mongodb/package.json;2.2.33
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/NodeJS/node_modules/mongoose/package.json;4.0.8
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/NodeJS/node_modules/node.extend/package.json;1.1.6
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/NodeJS/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Alert/NodeJS/Service/alert/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Alert/NodeJS/Service/alert/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Authentification/NodeJS/Service/authentification/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Authentification/NodeJS/Service/authentification/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Authentification/NodeJS/Service/authentification/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Card/NodeJS/Service/card/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Card/NodeJS/Service/card/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Contributor/NodeJS/Service/contributor/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Contributor/NodeJS/Service/contributor/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Contributor/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Group/NodeJS/Service/group/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Group/NodeJS/Service/group/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/token_generator/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/node_modules/toolbox/package.json;;
NPM;/opt/centrale-datacore/Development/Service_Mail/NodeJS/Service/mail/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_Mail/NodeJS/Service/mail/node_modules/nodemailer/package.json;1.3.4
NPM;/opt/centrale-datacore/Development/Service_Mail/NodeJS/Service/mail/node_modules/underscore/package.json;1.7.0
NPM;/opt/centrale-datacore/Development/Service_PasswordReset/NodeJS/Service/passwordreset/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Service_PasswordReset/NodeJS/Service/passwordreset/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Service_PasswordReset/NodeJS/Service/passwordreset/node_modules/underscore/package.json;1.8.3
